Nº	FECHA	AÑO	MES	   	PRODUCTO	ENTRADAS	SALIDAS	NETO	COD.2	DEPARTAMENTO	RETIRA/ ENTREGA	OBSERVACIONES
29	03/02/2025	2025	2	A29	CAJA ARCHIVOS PLÁSTICO CORRUGADO LEGAL	2,00	0,00	2,00	O16	DPTO. DE BS. DE ESTADO Y ECONOMATO	ALTA STOCK INICIAL
30	03/02/2025	2025	2	A30	CAJA DE ARCHIVO CARTON	38,00	0,00	38,00	O16	DPTO. DE BS. DE ESTADO Y ECONOMATO	ALTA STOCK INICIAL
31	03/02/2025	2025	2	A31	CAJA DE ARCHIVO PVC C/ELASTICO LOMO 4 CM OFICIO COLOR CELESTE RECICLADA	4,00	0,00	4,00	O16	DPTO. DE BS. DE ESTADO Y ECONOMATO	ALTA STOCK INICIAL
32	03/02/2025	2025	2	A32	CARPETA CARATULA CARTA A4 DE CARTULINA	0,00	0,00	0,00	O16	DPTO. DE BS. DE ESTADO Y ECONOMATO	ALTA STOCK INICIAL
33	03/02/2025	2025	2	A33	CARPETA CARATULA PLODER OFICIO AMARILLA	51,00	0,00	51,00	O16	DPTO. DE BS. DE ESTADO Y ECONOMATO	ALTA STOCK INICIAL
34	03/02/2025	2025	2	A34	CARPETA COLGANTE OFICIO	45,00	0,00	45,00	O16	DPTO. DE BS. DE ESTADO Y ECONOMATO	ALTA STOCK INICIAL
35	03/02/2025	2025	2	A35	CARPETA COMERCIAL OFICIO NEGRO	0,00	0,00	0,00	O16	DPTO. DE BS. DE ESTADO Y ECONOMATO	ALTA STOCK INICIAL
36	03/02/2025	2025	2	A36	CARPETA TAPA TRANSPARENTE A4	59,00	0,00	59,00	O16	DPTO. DE BS. DE ESTADO Y ECONOMATO	ALTA STOCK INICIAL
37	03/02/2025	2025	2	A37	CARPETA TAPA TRANSPARENTE OFICIO	61,00	0,00	61,00	O16	DPTO. DE BS. DE ESTADO Y ECONOMATO	ALTA STOCK INICIAL
38	03/02/2025	2025	2	A38	#N/A	5,00	0,00	5,00	O16	DPTO. DE BS. DE ESTADO Y ECONOMATO	ALTA STOCK INICIAL
