codigo,barcode,producto,stock,precio
A116,,MARCADOR PIZARRA DE VIDRIO AZUL,4,759.52
A117,,MARCADOR PIZARRA DE VIDRIO ROJO,16,759.52
A118,,MARCADOR PIZARRA DE VIDRIO VERDE,0,
A119,,MARCADOR PIZARRA VIDRIO COLOR NEGRO,409,770.75
A120,,MARCADOR PIZZINI DRAWING PEN 0.5/FABER CASTELL MULTIMARK 421-5,4,372
A121,,MARCADOR TINTA AL AGUA COLOR NEGRO,4,610
A122,,MARCADOR TINTA AL AGUA MARCA TRABI 420 PLUS COLOR AZUL,5,151.37
A123,,MARCADOR TINTA AL AGUA MARCA TRABI 420 PLUS COLOR ROJO,3,151.37
A124,,PAPEL BLANCO A4 180 GRAMOS POR 125 HOJAS,3.92,
A125,,PAPEL CARBONICO,10,75
A132,,PAPELES ADHESIVOS,4,910
A133,,PERFORADORA,1,445.99
A135,,REGLA PLASTICA 30 CM,13,78.56
A136,,REMA HOJAS A4 CELESTES 75 G POR 100 HOJAS,0,
A138,,REPUESTO LAPICERA PARKER COLOR AZUL,0,
A139,,REPUESTO TACO BLANCO,2,93.32
A140,,REPUESTO TACO DE COLORES,30,172.23
A141,7790578574357,RESALTADOR AMARILLO,20,386.01
A142,,RESALTADOR CELESTE,13,136.29
A143,,RESALTADOR NARANJA,5,136.29
A144,7790578574371,RESALTADOR ROSA,15,136.29
,7795513049464,RESALTADOR VERDE FILGO,,
,7703064100091,RESALTADOR VERDE PELIKAN,,
,7790578574364,RESALTADOR VERDE TRABI,,
A146,,RESALTADOR VIOLETA,253.78,110.1
A147,,RESMA DE HOJAS A4 70 GRS.,0,4595.83
A148,,RESMA DE HOJAS A4 75 GRS.,0,320.41
A149,,RESMA DE HOJAS OFICIO 70 GRS.,113,277.73
A150,,RESMA DE HOJAS OFICIO 75 GRS.,9,5940
A151,,ROLLO ETIQUESTAS ADHESIVAS 40X20MM,0,
A152,,SACABROCHE,6,668
A153,,SACAPUNTAS,10,300
A154,,SEÑALADORES,9000,215.54
A155,,SOBRE COMERCIAL X UNIDAD,412,56.17
A156,,SOBRES BLANCO TIPO CARTA OFICIO INGLES,17,45.38
A157,,SOBRES PAPEL MADERA GRANDE,136,113.74
A158,,SOBRES PAPEL MADERA MEDIANO (TIPO OFICIO) 25X35 CM,18,85.52
A159,,SOBRES PAPEL MADERA PEQUEÑO (TIPO A4),0,7.3
A163,,TIJERA 17 CM,0,1734.92
A164,,TIJERA 21 CM,0,91.4
A165,,TINTA AZUL PARA RECARGAR MARCADORES DE PIZARRA BLANCA,2,
A166,,TINTA HP BOTELLA GT52 AMARILLO,2,10730
A167,,TINTA HP BOTELLA GT52 CYAN,2,10730
A168,,TINTA HP BOTELLA GT52 MAGENTA,2,10730
A169,,TINTA HP BOTELLA GT53 NEGRO,0,4500
A170,,TINTA NEGRA PARA RECARGAR MARCADORES DE PIZARRA BLANCA,0,
A171,,TINTA PARA SELLOS AZUL,1,
A172,,TINTA PARA SELLOS MORADA,2,
A173,,TINTA PARA SELLOS NEGRA,1,102.43
A174,,TINTA PARA SELLOS VERDE,1,335.9
A177,,TONER 105 A,3,8400
A178,,TONER 58 A/ CF 258 A,3,10794.71
A179,,TONER D111 P/ SAMSUNG NEGRO,1,10067.2
A180,,TONER TN 410/420/450,6,17000
A181,,TONER TN 890,4,22800
A182,,TONER:1050/1060/1070,5,8324.97
A183,,TONER:217 A,5,965.17
A184,,TONER:219 A,6,3466.71
A185,,TONER:226 A,7,16953.77
A186,,TONER:230 A,4,8340
A187,,TONER:2612 A,3,7393
A188,,TONER:279 A,3,1027.69
A189,,TONER:280 A,26,1094.77
A190,,TONER:283 A,4,6606.6
A191,,TONER:285 A,0,6674.24
A192,,TONER:287 A,0,36000
A193,,TONER:55 A,3,66900
A194,,TONER:64 A,4,10540
A195,,TONER:7553/5949 A,29,1860
A196,,TRINCHETA LIBRERÍA,592,319.8
A197,,TUBO PORTA PLANO,0,582.17
A198,,VISORES PARA CARPETAS COLGANTES,0,4
