COD	ÁREA
A38	ANALISIS CUANTITATIVO DE NEGOCIOS II
A39	TEORIA DE LAS DECISIONES
A41	SISTEMAS DE INFORMACION II
A42	SEGURIDAD Y CONTROL EN SISTEMAS INFORMATICOS
C24	CONTABILIDAD FINANCIERA
C25	TALLER LEGISLACION Y PRACTICA IMPOSITIVA
C26	ADMINISTRACION Y CONTABILIDAD PUBLICA II
D13	TALLER DERECHO DEL TRABAJO Y SEGURIDAD SOCIAL
D15	ASPECTOS TRIBUTARIOS ESPECIALES-IMPUESTOS III
D16	DERECHO COMERCIAL
E37	MICROECONOMIA III/PLANIFICACION ECONOMICA
E40	ECONOMIA MATEMATICA AVANZADA
E45	ECONOMIA DEL MEDIO AMBIENTE
E46	FINANZAS DE EMPRESAS
E47	MICROECONOMIA AVANZADA
E48	MACROECONOMIA AVANZADA
E49	ECONOMIA Y SOCIEDAD
E50	ECONOMIA APLICADA
E52	DERECHO Y ECONOMIA
E53	ECONOMIA INSTITUCIONAL
H04	HISTORIA ECONOMICA Y SOCIAL
M16	ESTADISTICA AVANZADA
M17	TALLER DE MATEMATICA FINANCIERA
M18	LOGICA MATEMATICA
M19	MATEMATICA FINANCIERA II
P04	PRACTICA PROFESIONAL 
TE01	TESINA
E54	GOBIERNO Y POLITICA 
M20	ESTADISTICA LEE
O1	BIBLIOTECA
O2	DIRECCION DE SISTEMAS Y TECNOLOGIA
O3	COOPERADORA
O4	DECANATO 
O5	DECANO
O6	DESPACHO ADMINISTRATIVO
O7	DESPACHO HCD
O8	DIRECCION ACADEMICA
O9	DIRECCION ADMINISTRATIVA
O10	DIRECCION ALUMNOS
O11	DIRECCION DE POSGRADO 
O12	DIRECCION DE TITULOS
O13	DPTO PRESUPUESTO
O14	DPTO. COMUNICACIONES
O15	DPTO. CONCURSOS
O16	DPTO. DE BS. DE ESTADO Y ECONOMATO
O17	DPTO. DE COMPRAS
O18	DPTO. PERSONAL
O19	ESP. EN TRIBUTACION
O20	GUARDIA
O21	INIE
O22	INST. DE ADMINISTRACION
O23	INST. DE ECONOMIA
O24	INSTITUTO DE CONTABILIDAD
O25	LABORATORIO DE COMPUTACION
O26	MAGISTER EN ADMINISTRACION - RR.HH.
O27	MANTENIMIENTO
O28	MESA DE ENTRADAS
O29	SEC. ACADEMICA
O30	SEC. ADMINISTRATIVA
O31	SEC. BIENESTAR ESTUDIANTIL
O32	SEC. COMISION DEL HCD
O33	SEC. DE POSGRADO
O34	SEC. DE RELAC. INSTITUCIONALES
O35	SEC. HISTORIA ECONOMICA
O36	SERVICIOS GENERALES
O37	TESORERIA
O38	VICE 
O39	GABINETE PSICOPEDAGOGICO
O40	INSTITUTO DE DERECHO
O41	BOX 89
O42	PLAYA DE ESTACIONAMIENTO
O43	DANIEL CASAL
O44	ELECCIONES
O45	INGRESO. CURSO DE NIVELACION
O46	CECE
O47	AULAS Y EQUIPOS
O48	FRANJA
